Generation,Survivors,Avg. survivors,Avg. Sep,Sd. Sep,Avg. Align,Sd. Align,Avg. Coh,Sd. Coh
187,0.765,0.671,0.309481,0.0382682,0.256901,0.046805,0.433619,0.0486465
188,0.755,0.6745,0.306487,0.0449716,0.255066,0.0529471,0.438448,0.0496952
189,0.695,0.6875,0.306713,0.0458215,0.258234,0.0514942,0.435054,0.0527486
190,0.6,0.677,0.304493,0.0449593,0.261624,0.0520451,0.433883,0.0523755
191,0.635,0.671,0.303282,0.0399047,0.25901,0.0501057,0.437709,0.0528154
192,0.825,0.679,0.300715,0.044186,0.255781,0.0570468,0.443503,0.0496145
193,0.68,0.682,0.296969,0.0392447,0.262925,0.0427062,0.440105,0.0446929
194,0.77,0.6965,0.294799,0.0384051,0.26601,0.0418979,0.439191,0.0455067
195,0.585,0.6905,0.297485,0.0398673,0.257786,0.0501513,0.444729,0.0468232
196,0.595,0.6905,0.295765,0.0452955,0.259461,0.0480588,0.444774,0.0435196
197,0.565,0.6705,0.291828,0.0448542,0.270428,0.0369604,0.437743,0.0431357
198,0.685,0.6635,0.294479,0.0411071,0.265473,0.0457559,0.440047,0.0465836
199,0.635,0.6575,0.296334,0.0423172,0.259511,0.0512665,0.444155,0.0461924
200,0.815,0.679,0.298699,0.0488095,0.257438,0.0518892,0.443863,0.0507335
201,0.77,0.6925,0.283357,0.0419476,0.269844,0.04897,0.446799,0.0488478
202,0.81,0.691,0.289078,0.0428206,0.273507,0.0523758,0.437415,0.0487947
203,0.65,0.688,0.285325,0.0431679,0.273801,0.0639453,0.440874,0.0585928
204,0.6,0.671,0.284278,0.0426429,0.277506,0.0458838,0.438216,0.0505679
205,0.62,0.6745,0.287552,0.0395502,0.270296,0.0518138,0.442151,0.0557236
206,0.785,0.6935,0.28744,0.0407979,0.269109,0.0475088,0.443451,0.0524451
207,0.635,0.7005,0.293091,0.0427781,0.268104,0.0419752,0.438805,0.0458654
208,0.86,0.718,0.294482,0.0480456,0.273473,0.0486596,0.432044,0.0476563
209,0.595,0.714,0.288737,0.0463246,0.275504,0.059623,0.435759,0.0480039
210,0.76,0.7085,0.285912,0.0502972,0.282585,0.0582175,0.431503,0.0491899
211,0.61,0.6925,0.285348,0.0418461,0.284773,0.0456052,0.429879,0.0495406
212,0.635,0.675,0.28261,0.0394055,0.275278,0.0476821,0.442111,0.0515733
213,0.685,0.6785,0.285863,0.0392321,0.272622,0.0550872,0.441514,0.0553685
214,0.48,0.6665,0.2876,0.0414551,0.262395,0.0463734,0.450005,0.0448316
215,0.575,0.662,0.285308,0.047009,0.265412,0.048405,0.44928,0.0472919
216,0.865,0.67,0.290405,0.0428829,0.268439,0.0487597,0.441157,0.047468
217,0.7,0.6765,0.288379,0.043701,0.260195,0.0600257,0.451426,0.0519386
218,0.715,0.662,0.295979,0.0469036,0.25636,0.062199,0.447662,0.0521808
219,0.695,0.672,0.292906,0.0407909,0.257166,0.0512168,0.449927,0.0526153
220,0.675,0.6635,0.296441,0.0450147,0.250857,0.0519355,0.452702,0.0480296
221,0.62,0.6645,0.295003,0.040392,0.246817,0.0446141,0.45818,0.0452202
222,0.66,0.667,0.294475,0.040985,0.246567,0.0477733,0.458958,0.0469007
223,0.69,0.6675,0.290225,0.0377967,0.253892,0.0441115,0.455883,0.0459613
224,0.73,0.6925,0.289442,0.0403701,0.258671,0.0486189,0.451887,0.0513594
225,0.845,0.7195,0.287414,0.0439388,0.252968,0.0518453,0.459618,0.0501624
226,0.855,0.7185,0.288024,0.0475592,0.25256,0.0559818,0.459416,0.0485763
